Wavelength	1mm_blackPC00000.asd
726	 25.4176003167899 
727	 26.3834143343165 
728	 26.692744662661 
729	 26.3522830696821 
730	 25.6944488175682 
731	 25.070647196353 
732	 26.2092157725404 
733	 28.6202124361351 
734	 28.7178677283665 
735	 29.0420553935076 
736	 29.4327452011813 
737	 28.7885655816716 
738	 27.8122661680959 
739	 28.1677043818622 
740	 30.2895551688395 
741	 29.8172135511045 
742	 29.8676813989758 
743	 30.9184762510966 
744	 29.5391461288061 
745	 30.8945494565794 
746	 33.1691146602152 
747	 31.959696973906 
748	 31.2973958365432 
749	 31.449291621604 
750	 31.8759666829787 
751	 31.3184724473084 
752	 31.2535027819751 
753	 32.1109699512949 
754	 33.0026402721563 
755	 33.6342696167792 
756	 34.0735819629196 
757	 34.5704798116898 
758	 35.1578849650705 
759	 34.3134764122017 
760	 31.8858568799462 
761	 32.8157819772317 
762	 34.2063332778288 
763	 34.972177105123 
764	 36.2298428424813 
765	 35.3267389118565 
766	 34.3405970221156 
767	 36.5359344864803 
768	 37.3454668630858 
769	 36.9520846695326 
770	 36.3005136728727 
771	 36.5445958000464 
772	 37.2178556794147 
773	 37.7705914664887 
774	 37.4771365703522 
775	 37.9807783505869 
776	 38.6082526186993 
777	 38.1396698567232 
778	 37.6119441961454 
779	 37.6401639634515 
780	 38.2926975152623 
781	 38.4876890176104 
782	 38.3388971604896 
783	 38.1103142133067 
784	 38.2528869040063 
785	 40.2563111793804 
786	 41.1367505305134 
787	 38.1266165689624 
788	 37.5450804609719 
789	 38.5838643618926 
790	 39.8146074144994 
791	 39.5658942329285 
792	 39.4910827195857 
793	 39.7727022167083 
794	 39.7573561290935 
795	 40.0423306395355 
796	 40.1899843935924 
797	 39.9160811203919 
798	 40.7615300754684 
799	 40.8387796821764 
800	 39.792455093856 
801	 39.8722864157471 
802	 39.7539209400247 
803	 39.7262584466893 
804	 40.5445872002788 
805	 40.0042044185116 
806	 39.4762211365846 
807	 39.9509629042005 
808	 39.2110877939598 
809	 38.9595468051228 
810	 39.6873248326978 
811	 40.6178330532273 
812	 40.9828380870089 
