Wavelength	4mm_blackPETG00000.asd
808	-2.27261845159333 
809	-2.29178582537614 
810	-2.96369791190878 
811	-2.23472811992074 
812	-3.06173916513681 
813	-3.91157378009122 
814	-2.5824429547991 
815	-3.44753036441556 
816	-4.56093846021913 
817	-4.17755820686205 
818	-1.89843021029294 
819	-1.17280460740019 
820	-2.06520218130944 
821	-2.302018461716 
822	-2.08544120135615 
823	-2.19740763259317 
824	-3.06466702185348 
825	-2.76583663860868 
826	-2.37068378151868 
827	-2.43996290498968 
828	-2.72153370182486 
829	-2.69513499854134 
830	-2.67703404399948 
831	-3.25699718839436 
832	-3.91823505971177 
833	-3.94772504297582 
834	-3.06744957950799 
835	-2.03866247639651 
836	-1.21837858191814 
837	-0.959255864670526 
838	-1.57909430872369 
839	-2.61607443313495 
840	-3.54419668337422 
841	-3.90294375681243 
842	-3.6226829975343 
843	-2.7435290393242 
844	-1.83849258212192 
845	-2.41197133425785 
846	-2.65129753634777 
847	-2.83808577192627 
848	-3.79721260439574 
849	-2.92950542716055 
850	-1.65521398517834 
851	-1.39949992734497 
852	-2.54966711899727 
853	-2.47019829472422 
854	-1.78230707513008 
855	-3.42579470111604 
856	-3.17193719535181 
857	-2.84888280962633 
858	-4.12519713456726 
859	-1.80551419527082 
860	-1.16354690467272 
861	-3.16002665624254 
862	-2.90723706034718 
863	-3.63017126896911 
864	-4.17714775251294 
865	-2.69115992388464 
866	-2.76479204728165 
867	-3.15275270319929 
868	-2.98102070782967 
869	-2.99806647297035 
870	-2.8449021707726 
871	-2.36456925305554 
872	-1.63056277950166 
873	-2.54044937351446 
874	-3.22068924886634 
875	-2.62217042703563 
876	-4.05526221305113 
877	-4.00969573933691 
878	-2.22469284071786 
879	-1.06169355914698 
880	-0.891885355729815 
881	-1.32046090710568 
882	-1.86782106184138 
883	-3.04981569571837 
884	-3.20053082706873 
885	-2.31312453281944 
886	-2.37240706597411 
887	-2.13598203710197 
888	-1.62022537682874 
889	-1.40379366587096 
890	-3.3428386875762 
891	-3.92558671971311 
892	-2.48727911746227 
893	-3.41136512474031 
894	-3.57101961008467 
895	-3.18518856982341 
896	-3.47705283243212 
897	-3.33277267272661 
898	-3.55000667892525 
899	-4.20091060161223 
900	-3.44124625399059 
901	-2.71414111633595 
902	-2.64131935820526 
903	-3.36356685897469 
904	-3.81908186450209 
905	-3.58683960805917 
906	-2.88137177886432 
907	-3.26681438722695 
908	-2.86861150440063 
909	-2.07213754433435 
910	-2.48291952252817 
911	-3.32725418484913 
912	-3.28491065530605 
913	-2.10902036059197 
914	-2.72154931814929 
915	-3.1461035225061 
916	-2.26238879756855 
917	 0.159129034734021 
918	-1.33177851726156 
919	-3.53904624311982 
920	-3.47773528827313 
921	-3.72161422205789 
922	-3.19927818611564 
923	-2.44344609620968 
924	-2.99474074367782 
925	-2.41706464192233 
926	-1.9698046256898 
927	-2.70646973697807 
928	-2.90469954392455 
929	-3.20012007125966 
930	-3.24787586558896 
931	-2.16740736061687 
932	-3.20536798159937 
933	-4.17862965114083 
934	-3.28483057301566 
935	-3.01952728830095 
936	-2.83519375567069 
937	-2.43843469106163 
938	-1.70083123450834 
939	-0.474721051123169 
940	-0.774379611740409 
941	-3.20458084507933 
942	-3.68517758976121 
943	-2.63257804424277 
944	-1.48798335631969 
945	-2.16575592829047 
946	-1.52346282610274 
947	-1.43286151173561 
948	-2.96671165988746 
949	-3.45516112076762 
950	-2.26254062997954 
951	-1.13704735229494 
952	-2.65750104724432 
953	-2.09532405192997 
954	-1.59814784002748 
955	-2.40196883888875 
956	-1.78001566288053 
957	-2.48722025482441 
958	-3.66286785507774 
959	-3.25524055862565 
960	-2.74198040846262 
961	-2.95528918608866 
962	-3.74478891581769 
963	-3.49419153672864 
964	-2.83484269598551 
965	-2.32454218989579 
966	 3.32894880335585 
967	 1.56966246156808 
